samp,subpop,trial,odor,value,odor_order,value_detrended
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.00047553238,0,0.00047553238
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.00047529227,36,0.0005952193065513967
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0016024064,0,0.0016024064
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.001476656,36,0.001597644044469407
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0010385505,0,0.0010385505
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0026673167,36,0.0025846057602980305
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0026464667,0,0.0026464667
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0013172984,36,0.0017451368430179204
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.00039385358,0,0.00039385358
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0009090515,36,0.0013059052379908304
230913_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0014604712,0,0.0014604712
230913_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.00041806413,36,0.0010445953262688491
230913_U52_GCaMP6f_F3,U52,1,hexanal4.375,0.0009717479,0,0.0009717479
230913_U52_GCaMP6f_F3,U52,2,hexanal4.375,0.0011893718,36,0.0016260849728344598
230914_U52_GCaMP6f_F1,U52,1,hexanal4.375,0.0024617063,0,0.0024617063
230914_U52_GCaMP6f_F1,U52,2,hexanal4.375,0.0010204775,36,0.0023567196068760717
230914_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0022254959,0,0.0022254959
230914_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0013795026,36,0.0031290298343046767
230915_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0017835996,0,0.0017835996
230915_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0014448441,36,0.002108551937772732
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0020890783,0,0.0020890783
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0013839897,36,0.002461991105324604
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.375,0.002807344,0,0.002807344
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.375,0.0012012558,36,0.0023329125527623592
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.375,0.004086899,0,0.004086899
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.375,0.002087611,36,0.003318524810453328
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0010765849,0,0.0010765849
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0009894776,36,0.0017210281056723202
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.001123012,1,0.0011300528045950888
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.00047671382,37,0.0006007424775478865
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0015465223,1,0.0015499090204061955
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.0007870988,37,0.0008534536889201265
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0010811795,1,0.001080233881705836
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0017388113,37,0.0016834187886177723
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0014176785,1,0.0014287974902829916
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.0011118905,37,0.0014845685922169533
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0005597894,1,0.0005654507165673587
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.00070400996,37,0.0010215792607772662
230913_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.0007170247,1,0.0007354979766851014
230913_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.00019869368,37,0.0005092565119238338
230913_U52_GCaMP6f_F3,U52,1,hexanal4.03,0.0007092247,1,0.0007154129307886023
230913_U52_GCaMP6f_F3,U52,2,hexanal4.03,0.00057066244,37,0.0007870055979876541
230914_U52_GCaMP6f_F1,U52,1,hexanal4.03,0.00088479876,1,0.0009056113398778424
230914_U52_GCaMP6f_F1,U52,2,hexanal4.03,0.0011660882,37,0.00275634279920541
230914_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.0039614644,1,0.004052620686300968
230914_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.0008634277,37,0.0020035185023983613
230915_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.0010025522,1,0.0010131344577287617
230915_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.0013515302,37,0.001993192116115472
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.0022581867,1,0.0022946082828725275
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.0014010448,37,0.002532528584139536
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.03,0.0026181098,1,0.00266682894896181
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.03,0.0013695778,37,0.002709299236571106
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.03,0.0028842026,1,0.0029215767885354803
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.03,0.0019901486,37,0.0032045904878758077
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.00085915654,1,0.0008724681425197337
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.00093819585,37,0.001657115505366572
230913_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0010725451,2,0.001086036056565495
230913_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.00094275747,38,0.001195487175744676
230913_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.000751506,2,0.0007548010413972957
230913_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.0013259061,38,0.001440832504666188
230914_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0013065661,2,0.0013042816088377881
230914_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0017809198,38,0.0017226778547337323
230914_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.0020401364,2,0.00207226387350429
230914_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.00083599257,38,0.00112495096327148
230915_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.00053652097,2,0.0005474278367494468
230915_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.00038785848,38,0.0005685080827801147
230913_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.00079452683,2,0.0008359942667219147
230913_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0009898705,38,0.002602425376991593
230913_U52_GCaMP6f_F3,U52,1,hexanal2.825,0.00073186477,2,0.0007446920345384761
230913_U52_GCaMP6f_F3,U52,2,hexanal2.825,0.00044857807,38,0.0006240357980974801
230914_U52_GCaMP6f_F1,U52,1,hexanal2.825,0.0017262865,2,0.0018084544213219423
230914_U52_GCaMP6f_F1,U52,2,hexanal2.825,0.001073089,38,0.002596180704453966
230914_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0040919096,2,0.004282392102669461
230914_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0009402814,38,0.0022320577396075523
230915_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0013980172,2,0.0014276859932085533
230915_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0021854832,38,0.0032570990858616852
230914_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0014082564,2,0.0014540493849579672
230914_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0007532272,38,0.0013834932339963357
230914_FCV_GCaMP6f_F2,FCV,1,hexanal2.825,0.0012312157,2,0.0012774642460250075
230914_FCV_GCaMP6f_F2,FCV,2,hexanal2.825,0.00058476423,38,0.001178306763031182
230914_FCV_GCaMP6f_F3,FCV,1,hexanal2.825,0.0030981132,2,0.003178925609414033
230914_FCV_GCaMP6f_F3,FCV,2,hexanal2.825,0.0016558678,38,0.0027008734531413737
230915_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0007833445,2,0.0008078065194233228
230915_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0024179348,38,0.004336917261855647
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.0005271851,3,0.0005371630717888409
230913_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.0010509781,39,0.0013410746288342952
230913_ORL_GCaMP6f_F2,ORL,1,heptanal4.51,0.0013601047,3,0.0013690597386759843
230913_ORL_GCaMP6f_F2,ORL,2,heptanal4.51,0.0015700152,39,0.0017098365836688762
230914_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.0070028934,3,0.006984534910883752
230914_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.00987728,39,0.009545904078735618
230914_ORL_GCaMP6f_F2,ORL,1,heptanal4.51,0.003573206,3,0.003657942138369445
230914_ORL_GCaMP6f_F2,ORL,2,heptanal4.51,0.0040658363,39,0.005514091759764577
230915_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.0019336338,3,0.0019928953490645435
230915_ORL_GCaMP6f_F1,ORL,2,heptanal4.51,0.0010550808,39,0.0015621371500200221
230913_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.0015809105,3,0.0017062763906587606
230913_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.0012288562,39,0.0033139681825651336
230913_U52_GCaMP6f_F3,U52,1,heptanal4.51,0.0036895692,3,0.0037869926318295725
230913_U52_GCaMP6f_F3,U52,2,heptanal4.51,0.0033038352,39,0.0046362065384126915
230914_U52_GCaMP6f_F1,U52,1,heptanal4.51,0.0054687764,3,0.005863841286867954
230914_U52_GCaMP6f_F1,U52,2,heptanal4.51,0.0029674207,39,0.007348109904571938
230914_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.0036182995,3,0.003873870607089498
230914_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.0013184616,39,0.0032018078467271048
230915_U52_GCaMP6f_F2,U52,1,heptanal4.51,0.004106814,3,0.004238237697315457
230915_U52_GCaMP6f_F2,U52,2,heptanal4.51,0.0020630404,39,0.0031070720416567638
230914_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.005214783,3,0.005471197297484907
230914_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.0036655064,39,0.006841222869120897
230914_FCV_GCaMP6f_F2,FCV,1,heptanal4.51,0.0045381095,3,0.00479619557754784
230914_FCV_GCaMP6f_F2,FCV,2,heptanal4.51,0.0023541737,39,0.004831960545808821
230914_FCV_GCaMP6f_F3,FCV,1,heptanal4.51,0.006949708,3,0.0072233919684409655
230914_FCV_GCaMP6f_F3,FCV,2,heptanal4.51,0.0029513515,39,0.0048763071460553266
230915_FCV_GCaMP6f_F1,FCV,1,heptanal4.51,0.0052024727,3,0.005448057002436179
230915_FCV_GCaMP6f_F1,FCV,2,heptanal4.51,0.0020944779,39,0.0038149566815641714
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.00085549825,4,0.0008771552913071879
230913_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.0009152104,40,0.001175153415216954
230913_ORL_GCaMP6f_F2,ORL,1,heptanal4.065,0.00050082424,4,0.0005052256803193266
230913_ORL_GCaMP6f_F2,ORL,2,heptanal4.065,0.0014352002,40,0.001566438156216976
230914_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.002795617,4,0.0027858494436945793
230914_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.0028351292,40,0.0027376161113099786
230914_ORL_GCaMP6f_F2,ORL,1,heptanal4.065,0.0009869976,4,0.0010183282670174364
230914_ORL_GCaMP6f_F2,ORL,2,heptanal4.065,0.001083968,40,0.0014816085894182774
230915_ORL_GCaMP6f_F1,ORL,1,heptanal4.065,0.00040782595,4,0.00042457577343171684
230915_ORL_GCaMP6f_F1,ORL,2,heptanal4.065,0.00040184305,40,0.0006009799599671131
230913_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.0004609614,4,0.0005103334361562807
230913_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.0007673274,40,0.002122635101406979
230913_U52_GCaMP6f_F3,U52,1,heptanal4.065,0.0009590129,4,0.0009929243981020835
230913_U52_GCaMP6f_F3,U52,2,heptanal4.065,0.00048365805,40,0.0006846297277994922
230914_U52_GCaMP6f_F1,U52,1,heptanal4.065,0.0020412495,4,0.002240193218385105
230914_U52_GCaMP6f_F1,U52,2,heptanal4.065,0.0011719778,40,0.002970388490064385
230914_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.002019029,4,0.002211379884417994
230914_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.0016406933,40,0.004076011335563498
230915_U52_GCaMP6f_F2,U52,1,heptanal4.065,0.002865074,4,0.002987969855812364
230915_U52_GCaMP6f_F2,U52,2,heptanal4.065,0.0014169704,40,0.0021565744742495577
230914_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.003027777,4,0.003227890044844914
230914_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.00096813164,40,0.0018360431439101452
230914_FCV_GCaMP6f_F2,FCV,1,heptanal4.065,0.002256462,4,0.002429166270458224
230914_FCV_GCaMP6f_F2,FCV,2,heptanal4.065,0.0011972929,40,0.002503182924082325
230914_FCV_GCaMP6f_F3,FCV,1,heptanal4.065,0.004273542,4,0.0044993952172852555
230914_FCV_GCaMP6f_F3,FCV,2,heptanal4.065,0.0015242728,40,0.002551081645322725
230915_FCV_GCaMP6f_F1,FCV,1,heptanal4.065,0.0030646133,4,0.0032590032432877627
230915_FCV_GCaMP6f_F1,FCV,2,heptanal4.065,0.0012963876,40,0.002397871879925581
230913_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.00043495416,5,0.00044876108714430983
230913_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.00088836876,41,0.0011478396932027108
230913_ORL_GCaMP6f_F2,ORL,1,heptanal3.44,0.00097183837,5,0.0009825261946654956
230913_ORL_GCaMP6f_F2,ORL,2,heptanal3.44,0.0012674513,41,0.001386379307073922
230914_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.0009731797,5,0.0009689313388788077
230914_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.0024505,41,0.002364146539028644
230914_ORL_GCaMP6f_F2,ORL,1,heptanal3.44,0.0012501116,5,0.0012999103848088886
230914_ORL_GCaMP6f_F2,ORL,2,heptanal3.44,0.0010208855,41,0.0014063291754640634
230915_ORL_GCaMP6f_F1,ORL,1,heptanal3.44,0.0002859763,5,0.0003007325826879701
230915_ORL_GCaMP6f_F1,ORL,2,heptanal3.44,0.00034808408,41,0.0005258450353794788
230913_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.00093736703,5,0.0010645020531934823
230913_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0004164546,41,0.0011817066097619111
230913_U52_GCaMP6f_F3,U52,1,heptanal3.44,0.00069464836,5,0.000725487077775101
230913_U52_GCaMP6f_F3,U52,2,heptanal3.44,0.0011176256,41,0.0015958299327553552
230914_U52_GCaMP6f_F1,U52,1,heptanal3.44,0.0011556929,5,0.0012981628563035774
230914_U52_GCaMP6f_F1,U52,2,heptanal3.44,0.00046950963,41,0.0012179675545567373
230914_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.0021170923,5,0.002372142584019241
230914_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0006193576,41,0.0015740903232395206
230915_U52_GCaMP6f_F2,U52,1,heptanal3.44,0.0013805551,5,0.001454970556980591
230915_U52_GCaMP6f_F2,U52,2,heptanal3.44,0.0006778473,41,0.0010425470049477044
230914_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.001054192,5,0.0011419925604464
230914_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.001389584,41,0.0026778237251253714
230914_FCV_GCaMP6f_F2,FCV,1,heptanal3.44,0.0011133535,5,0.0012208705037007259
230914_FCV_GCaMP6f_F2,FCV,2,heptanal3.44,0.0010063641,41,0.0021431601269459306
230914_FCV_GCaMP6f_F3,FCV,1,heptanal3.44,0.0019309574,5,0.0020593511183616374
230914_FCV_GCaMP6f_F3,FCV,2,heptanal3.44,0.0014363795,41,0.0024351313838301067
230915_FCV_GCaMP6f_F1,FCV,1,heptanal3.44,0.0006501725,5,0.0007021258856920693
230915_FCV_GCaMP6f_F1,FCV,2,heptanal3.44,0.0008162351,41,0.0015331464810714028
230913_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.002368392,6,0.002458892988192618
230913_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.002448524,42,0.003183513286545785
230913_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.0058413083,6,0.005918480808178069
230913_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.005690371,42,0.006237942797403201
230914_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.013219967,6,0.013150744042509818
230914_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.0126618305,42,0.012204954739996705
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.017162908,6,0.01798657315243928
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.011802172,42,0.016385693103092867
230915_ORL_GCaMP6f_F1,ORL,1,octanal4.58,0.008426068,6,0.008950462740353243
230915_ORL_GCaMP6f_F1,ORL,2,octanal4.58,0.0060902173,42,0.009293439884854735
230913_U52_GCaMP6f_F2,U52,1,octanal4.58,0.0077055506,6,0.008976103920505806
230913_U52_GCaMP6f_F2,U52,2,octanal4.58,0.003332256,42,0.00969901711558973
230913_U52_GCaMP6f_F3,U52,1,octanal4.58,0.009190845,6,0.009682623428486461
230913_U52_GCaMP6f_F3,U52,2,octanal4.58,0.004625991,42,0.006662971913526377
230914_U52_GCaMP6f_F1,U52,1,octanal4.58,0.015812244,6,0.0181793180425226
230914_U52_GCaMP6f_F1,U52,2,octanal4.58,0.006575726,42,0.017459518805672973
230914_U52_GCaMP6f_F2,U52,1,octanal4.58,0.0073716682,6,0.00844981063159451
230914_U52_GCaMP6f_F2,U52,2,octanal4.58,0.0028019692,42,0.007285036542079776
230915_U52_GCaMP6f_F2,U52,1,octanal4.58,0.011367829,6,0.01210704298879197
230915_U52_GCaMP6f_F2,U52,2,octanal4.58,0.0057921708,42,0.009002543455694597
230914_FCV_GCaMP6f_F1,FCV,1,octanal4.58,0.008847656,6,0.009739137537100713
230914_FCV_GCaMP6f_F1,FCV,2,octanal4.58,0.0070044,42,0.013715663803219624
230914_FCV_GCaMP6f_F2,FCV,1,octanal4.58,0.009684248,6,0.010817072229159069
230914_FCV_GCaMP6f_F2,FCV,2,octanal4.58,0.0038652127,42,0.008384558269640675
230914_FCV_GCaMP6f_F3,FCV,1,octanal4.58,0.010383213,6,0.011217110855354973
230914_FCV_GCaMP6f_F3,FCV,2,octanal4.58,0.0054988423,42,0.009443130813765998
230915_FCV_GCaMP6f_F1,FCV,1,octanal4.58,0.007177688,6,0.007871332214166523
230915_FCV_GCaMP6f_F1,FCV,2,octanal4.58,0.0038848463,42,0.007410022091535881
230913_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.0004984657,7,0.0005207576553282515
230913_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.00054245454,43,0.0007097084732564437
230913_ORL_GCaMP6f_F2,ORL,1,octanal4.09,0.0022656817,7,0.0023006419322102365
230913_ORL_GCaMP6f_F2,ORL,2,octanal4.09,0.0023825725,43,0.00261756183273147
230914_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.008025977,7,0.007976968133744333
230914_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.008155728,43,0.007854569799458077
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.09,0.0040924544,7,0.004322493297070866
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.09,0.0042849085,43,0.005995664941024725
230915_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.0016322971,7,0.001751418071802204
230915_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.00082803116,43,0.0012763226424504612
230913_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0038673459,7,0.00462109161649424
230913_U52_GCaMP6f_F2,U52,2,octanal4.09,0.000867294,43,0.00258942343940794
230913_U52_GCaMP6f_F3,U52,1,octanal4.09,0.0054176054,7,0.005757287304576436
230913_U52_GCaMP6f_F3,U52,2,octanal4.09,0.0024946232,43,0.00362444145753292
230914_U52_GCaMP6f_F1,U52,1,octanal4.09,0.007957665,7,0.009364122346010062
230914_U52_GCaMP6f_F1,U52,2,octanal4.09,0.0032357941,43,0.008793601627435187
230914_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0027731778,7,0.0032519144448298993
230914_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0009432385,43,0.0025088234240831933
230915_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0025184902,7,0.0027105717621765
230915_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0031832634,43,0.00499984492521851
230914_FCV_GCaMP6f_F1,FCV,1,octanal4.09,0.006330096,7,0.0070802937851177595
230914_FCV_GCaMP6f_F1,FCV,2,octanal4.09,0.0039114715,43,0.007782780350743204
230914_FCV_GCaMP6f_F2,FCV,1,octanal4.09,0.0056759585,7,0.006457885535857737
230914_FCV_GCaMP6f_F2,FCV,2,octanal4.09,0.0020924616,43,0.004623507757883827
230914_FCV_GCaMP6f_F3,FCV,1,octanal4.09,0.0069395425,7,0.00759401813712071
230914_FCV_GCaMP6f_F3,FCV,2,octanal4.09,0.0028889833,43,0.005025523566825078
230915_FCV_GCaMP6f_F1,FCV,1,octanal4.09,0.003528634,7,0.003929592878330619
230915_FCV_GCaMP6f_F1,FCV,2,octanal4.09,0.0019983365,43,0.0038707182512678503
230913_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.0004203851,8,0.00044193870497714443
230913_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.00039569018,44,0.0005209382597138905
230913_ORL_GCaMP6f_F2,ORL,1,octanal3.525,0.0009954772,8,0.0010130513765393783
230913_ORL_GCaMP6f_F2,ORL,2,octanal3.525,0.0027474328,44,0.003025017717219733
230914_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.0024303875,8,0.0024134341932993976
230914_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.0042376514,44,0.00407760253071507
230914_ORL_GCaMP6f_F2,ORL,1,octanal3.525,0.001754487,8,0.0018676416897434184
230914_ORL_GCaMP6f_F2,ORL,2,octanal3.525,0.0013852275,44,0.0019534838847950543
230915_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.0007479962,8,0.0008106998587387863
230915_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.00090518367,44,0.0014093556222043741
230913_U52_GCaMP6f_F2,U52,1,octanal3.525,0.0011543302,8,0.001414845393157006
230913_U52_GCaMP6f_F2,U52,2,octanal3.525,0.0007135297,44,0.002185224966746138
230913_U52_GCaMP6f_F3,U52,1,octanal3.525,0.0023081028,8,0.002474221715988503
230913_U52_GCaMP6f_F3,U52,2,octanal3.525,0.0009753337,44,0.001429428036620696
230914_U52_GCaMP6f_F1,U52,1,octanal3.525,0.003656233,8,0.004403648414327282
230914_U52_GCaMP6f_F1,U52,2,octanal3.525,0.001477886,44,0.004110779575639615
230914_U52_GCaMP6f_F2,U52,1,octanal3.525,0.0028606555,8,0.0034316829416005117
230914_U52_GCaMP6f_F2,U52,2,octanal3.525,0.0010589843,44,0.0028814978368815166
230915_U52_GCaMP6f_F2,U52,1,octanal3.525,0.0013786872,8,0.0014995000342443879
230915_U52_GCaMP6f_F2,U52,2,octanal3.525,0.001393703,44,0.0022121485408414226
230914_FCV_GCaMP6f_F1,FCV,1,octanal3.525,0.004020748,8,0.004569793212488201
230914_FCV_GCaMP6f_F1,FCV,2,octanal3.525,0.0015687881,44,0.0031718131958993643
230914_FCV_GCaMP6f_F2,FCV,1,octanal3.525,0.0034762158,8,0.004028702195871081
230914_FCV_GCaMP6f_F2,FCV,2,octanal3.525,0.001239173,44,0.002789030994293852
230914_FCV_GCaMP6f_F3,FCV,1,octanal3.525,0.00367742,8,0.00407638847756429
230914_FCV_GCaMP6f_F3,FCV,2,octanal3.525,0.0011463837,44,0.002020030032764631
230915_FCV_GCaMP6f_F1,FCV,1,octanal3.525,0.0042901197,8,0.004851629532729916
230915_FCV_GCaMP6f_F1,FCV,2,octanal3.525,0.00061427185,44,0.0012082612027997422
